job	company	sex	residence	blood_group	ssn	name	birthdate	race	age	leukocyty	weight	hbver	HK group	weight group	er-cv	ast	indicator	hematokrit	trombocyty	smoker	alt	etytr	erytrocyty	hemoglobin	alp	relationship
Commercial horticulturist	Vasquez and Sons	F	"0184 Page Creek Suite 069
Bushshire, MI 12899"	B+	377-34-2387	Stacy Hall	1978-01-17	Black	43	8.07151	99.43234	7.16252	5-6	90-100	28.25733	47.93805	1.0	5.78082	5.69034	no	15.63143	5.63075	8.43148	7.58757	59.69023	divorced
Primary school teacher	Green LLC	F	"023 Chelsea View
Garrettberg, MA 82146"	AB+	011-86-7202	Robin Boyd	1968-07-16	White	53	7.99912	58.69382	5.64523	4-5	50-60	55.426	55.39687	1.0	4.2674	6.15721	yes	11.74344	5.91578	7.51139	6.63525	76.17301	married
Forensic psychologist	Bradley Ltd	F	"007 Cody Viaduct Suite 037
South Paulborough, DC 31476"	AB+	849-05-5764	Shari Hood	1953-03-16	Black	68	3.73537	33.25933	6.55057	7-8	30-40	58.57379	61.51651	1.0	7.13082	5.9085	no	4.31783	7.2203	5.58023	7.53618	56.13944	widowed
Trade union research officer	Howell Ltd	F	"PSC 7607, Box 2640
APO AA 68413"	O+	537-69-0772	Jessica Bass	1964-01-23	White	57	8.41259	96.84835	6.71904	7-8	90-100	45.64089	66.23423	1.0	7.97988	4.60916	yes	6.17145	4.65824	5.32737	6.26798	87.44773	divorced
Primary school teacher	Smith, Griffin and Peterson	M	"342 William Fall
Barryhaven, SD 22767"	B+	519-76-1198	Grant White	1921-06-17	White	100	7.93165	52.68834	7.64933	7-8	50-60	47.1613	61.96356	1.0	7.09077	4.74969	yes	7.53802	4.78628	6.19775	6.59694	89.73556	separated
Programme researcher, broadcasting/film/video	Rivera, Donovan and Werner	F	"69520 Dawn Gardens
Hunterstad, WV 33688"	AB+	151-43-2737	Jasmine Elliott	1921-11-27	White	99	7.74384	59.21473	6.88908	5-6	50-60	63.84624	68.51058	1.0	5.20181	4.80037	no	5.46279	5.06657	5.86095	8.14324	34.94031	married
Engineer, electronics	Williams Group	M	"17930 Charles Summit
New Miranda, DC 25595"	A-	124-18-6965	Travis Sherman	1954-04-29	Black	67	5.14428	65.45085	6.34591	6-7	60-70	55.14128	65.92669	0.0	6.75568	7.55825	yes	23.0827	7.32531	8.74363	6.84611	79.43327	married
Loss adjuster, chartered	Davis Inc	F	"Unit 3951 Box 7757
DPO AE 60128"	O-	849-41-3378	Jennifer Wu	1966-08-19	Indian	55	3.28721	42.03232	6.48802	6-7	40-50	57.89823	70.27818	1.0	6.74361	4.22884	yes	3.19444	5.30827	5.48903	5.5763	76.67977	married
Engineer, manufacturing	Arnold PLC	M	"3743 Erica Landing Apt. 121
Shaffertown, IN 26533"	AB-	509-28-8895	Larry Schultz	1965-02-02	Black	56	7.90279	53.26945	5.87646	5-6	50-60	52.91555	51.28174	1.0	5.69684	3.5848	no	12.06891	3.90246	7.78625	7.72282	61.7577	nop
Merchant navy officer	Francis-Vega	M	"246 Stewart Plaza Apt. 071
Jonesmouth, WV 04772"	B+	551-88-1284	Neil Reynolds	1991-08-24	Hawaiian	30	8.21344	62.19709	6.59776	9-10	60-70	45.00855	38.69696	1.0	9.34325	6.71854	no	10.55703	6.16209	7.75184	8.5426	27.25477	single
Physicist, medical	Smith-Stevenson	F	"264 Wilson Mountain Suite 765
Lauramouth, MT 94629"	B+	299-61-3446	Tanya Elliott	1961-02-09	White	60	8.82771	138.90008	7.46569	6-7	130-140	25.93315	19.81613	1.0	6.80025	5.74422	no	3.07064	5.11678	6.47307	7.69709	53.63263	married
Homeopath	Cook-Brown	M	"06109 Stone Shore Suite 366
North Victoriachester, TX 07313"	B+	287-49-3513	Ryan Wilson PhD	1937-04-21	White	84	4.86508	96.19513	5.96232	7-8	90-100	29.68699	43.91756	1.0	7.93132	5.58844	no	7.87019	6.19681	7.13273	5.43304	76.86898	married
Legal executive	Blair, Reyes and Finley	M	"0514 Alexis Drives
South Alexland, GA 61264"	A+	401-98-1837	James Eaton	1960-07-06	Black	61	5.60505	70.25786	7.886	6-7	70-80	45.89127	62.37713	1.0	6.54411	3.8834	no	13.68589	4.899	7.87877	7.22057	73.47447	single
Maintenance engineer	Osborne, Silva and Atkinson	F	"456 Maurice Harbor Suite 395
Andrewburgh, MO 00766"	A+	038-91-1525	Hayley Griffith	1943-04-05	White	78	7.94344	93.41167	6.66831	4-5	90-100	25.33441	40.19077	0.0	4.51638	8.78667	no	4.12984	6.73272	6.05415	7.34497	66.78001	separated
Horticulturist, commercial	Cunningham-Valentine	M	"0187 Vega Green
North Curtis, UT 01918"	AB+	386-18-0241	Gregory Moran	1980-01-31	Black	41	5.39862	94.38598	5.22515	5-6	90-100	45.36496	29.03366	0.0	5.49482	7.07143	no	8.05998	9.00356	5.73281	4.95551	64.98148	divorced
Computer games developer	Riley-Fernandez	M	"449 Clifford Port
West Louis, NJ 76059"	O-	388-76-0694	Jason Riley	1973-02-23	White	48	7.10856	36.3524	7.73298	4-5	30-40	47.37007	53.29208	1.0	4.97258	4.83003	no	8.21446	5.6678	6.53955	7.72775	58.64413	divorced
Petroleum engineer	Rodgers LLC	M	"0980 Chandler Mount Suite 530
New Kristinville, MA 04569"	O-	594-39-4942	Jacob Woodward	1943-10-17	White	78	4.66231	42.50692	6.30117	8-9	40-50	50.88626	39.72626	1.0	8.75974	4.14558	no	9.50639	2.69265	6.40902	7.43744	69.85669	single
Dance movement psychotherapist	Stephens-Wagner	F	"06052 Michael Mews Suite 224
East Cheryl, DE 17781"	B-	759-21-2778	Laura Johnson	1970-05-12	White	51	8.15916	89.63616	8.24368	7-8	80-90	61.88011	62.63844	0.0	7.99059	6.51885	no	6.03721	3.4153	6.59096	6.28369	82.5361	nop
Scientist, research (life sciences)	Williams, Vega and Johnson	M	"91317 Jones Pines
North Sandra, CT 72061"	O+	092-84-4173	Michael Skinner	1980-02-11	Black	41	8.4942	85.78876	8.2427	4-5	80-90	61.78984	55.59501	1.0	4.82408	7.09585	yes	11.24511	6.34995	7.76458	5.008	60.7455	nop
Chief Marketing Officer	King, Martin and Farmer	M	"536 Kaylee Mountains Apt. 146
Andrewport, KS 12265"	O-	509-18-4456	Kyle Thompson	1954-10-29	Asian	67	7.03092	73.83105	5.60906	5-6	70-80	46.0979	50.34147	0.0	5.60414	6.59986	yes	11.63601	8.29469	8.00186	7.30843	69.41708	divorced
Lexicographer	Taylor-Nguyen	M	"2837 Rodney Branch Suite 096
Lake Jameston, TX 10858"	A-	043-94-1806	Cody Middleton	1934-12-22	Black	86	7.33881	25.54609	7.44069	5-6	20-30	60.47816	35.51922	0.0	5.34553	8.44031	yes	25.05012	5.67399	8.70939	6.75371	80.76128	married
Engineer, production	Ortiz, Howell and Michael	F	"7667 Caitlyn Fields
Petersonmouth, CT 50013"	O-	097-85-5566	Kathryn Lynn	1964-02-19	Black	57	6.66111	98.38708	7.69241	5-6	90-100	52.25122	63.19495	0.0	5.45707	7.77975	yes	9.29423	4.5548	7.27549	6.42688	83.89085	widowed
Administrator, Civil Service	Price Group	M	"1247 Stephanie Road Suite 990
Randyborough, ND 44205"	O+	635-01-2718	Timothy Gonzalez	1950-04-22	White	71	7.7771	67.00908	7.4357	5-6	60-70	39.3497	53.17029	1.0	5.06191	7.22847	yes	18.65508	7.19615	8.40816	7.51272	51.26059	nop
Lobbyist	Parker Inc	F	"631 Matthew Mount
Lake Jonathanborough, WV 75860"	A+	364-46-6317	Morgan Holland	2009-05-28	White	12	8.11574	60.64187	6.93469	7-8	60-70	58.17376	31.19879	1.0	7.93974	5.81853	no	6.5034	4.99198	6.63411	5.66538	79.14977	married
Nurse, mental health	Barnett-Rojas	M	"USNS Blake
FPO AA 80601"	A+	397-86-9069	Joseph Giles	1962-02-25	Hawaiian	59	7.01155	18.19263	5.71178	5-6	10-20	71.2584	46.39606	0.0	5.66962	10.96177	yes	7.19792	7.51601	5.31242	4.56889	45.78113	separated
Race relations officer	Stevenson-Robertson	F	"429 Reynolds Tunnel Suite 370
Sparksberg, AK 66622"	O-	479-39-3576	Rhonda Rubio	1948-11-12	Asian	73	9.33969	88.34299	6.25389	6-7	80-90	48.56187	56.92652	0.0	6.56624	8.65808	yes	11.5724	6.69616	7.64999	5.20109	64.96459	divorced
Publishing rights manager	Everett-White	F	"8266 Nixon Tunnel Suite 309
Martinezmouth, TX 89064"	O+	638-13-4096	Lisa Morris	1991-05-05	White	30	5.40639	91.54449	7.62454	7-8	90-100	38.91494	62.15759	0.0	7.23038	9.17935	yes	7.52144	8.25536	6.89407	6.55657	87.58178	single
Curator	Adams LLC	M	"35049 Colin Crest
Josefurt, SD 49777"	B+	158-84-9362	Timothy Underwood	1908-11-17	Indian	112	8.46697	124.38111	4.4222	5-6	120-130	23.01854	51.12042	1.0	5.92861	5.30448	yes	8.23962	4.94009	7.3285	5.98917	86.70391	single
Sport and exercise psychologist	Williams Inc	M	"41976 Michael Shores Suite 032
Rodneyland, HI 68319"	B+	738-01-0981	David Mason	2003-01-12	Black	18	6.37425	14.44038	4.41422	6-7	10-20	53.29213	70.48361	1.0	6.38655	3.59712	no	10.67212	3.03681	7.39666	7.65968	50.21366	married
Information systems manager	Perez-Hughes	M	"Unit 0529 Box 3977
DPO AE 79154"	A+	108-99-1399	Zachary Tucker	1992-05-15	White	29	3.09617	115.9429	6.19158	3-4	110-120	42.64093	46.67609	0.0	3.86879	8.36123	yes	21.29409	8.12916	8.47476	6.62848	82.59945	single
Air broker	Craig PLC	M	"614 Derrick Crossing Apt. 521
Glentown, KS 86164"	A+	478-74-0079	Lawrence Mullins	1935-12-06	Asian	85	6.83509	28.34723	6.44426	6-7	20-30	52.42889	66.73198	0.0	6.12222	3.29144	no	6.15672	3.59031	6.80385	5.88489	84.34176	separated
Administrator, arts	Nelson, Larson and Carlson	F	"56565 James Glens
Oneillville, AK 63664"	AB-	069-31-5291	Sharon Hicks	2013-03-30	Asian	8	7.65415	94.39347	7.05437	3-4	90-100	48.10828	72.7853	0.0	3.91126	7.7384	no	8.36557	5.87018	5.90128	6.84382	79.90955	married
Environmental education officer	Davis, Williams and Holder	F	"33162 Schneider Ford
North Brittanystad, RI 13117"	B-	335-93-8499	Tina Robinson	1934-12-28	White	86	5.67504	78.80234	5.88318	7-8	70-80	42.02827	29.61174	1.0	7.33047	3.948	yes	10.17955	4.02273	7.74724	8.1117	38.61383	nop
Armed forces operational officer	Johnson-Stone	M	"15820 Jones Lane Suite 803
Port Timothy, KS 48502"	AB+	526-35-3389	Jeremy Martin	1966-03-14	White	55	6.13075	100.59049	7.8943	5-6	100-110	63.39366	29.13893	0.0	5.28445	9.20568	no	2.02158	6.7716	5.44047	8.22455	35.80482	married
Scientist, research (physical sciences)	Hensley-Erickson	F	"79457 Casey Road
Williamtown, LA 20413"	A+	621-07-1998	Megan Blanchard	1976-08-06	White	45	9.47501	31.24558	7.24884	6-7	30-40	59.94662	45.22733	0.0	6.34693	5.86835	no	7.2495	4.40503	6.77837	6.4701	83.56246	divorced
Energy engineer	Mclaughlin, Wilson and Casey	F	"76401 Sherry Mountains
Donaldstad, OK 92097"	B+	815-41-6706	Stephanie Page	1909-06-18	Asian	112	7.24117	82.10539	8.36706	6-7	80-90	45.35055	41.28058	1.0	6.65518	4.24494	no	5.31523	5.25965	5.67863	7.71474	50.9726	widowed
Development worker, community	Morales-Case	M	"817 Boyle Falls Apt. 089
Wilsonchester, MS 90997"	O-	497-64-6422	Dylan Garcia	1948-07-19	Hawaiian	73	8.01381	72.73181	6.76198	6-7	70-80	22.29827	60.86781	1.0	6.33979	5.01163	yes	4.06613	5.16072	5.18553	7.1471	62.61418	married
Product designer	Moreno, Baker and Foley	M	"50819 Pittman Way Apt. 548
East Maryville, FL 02255"	B+	559-01-9050	Eugene Carney	1980-07-06	Asian	41	7.93035	21.69577	4.75394	3-4	20-30	44.2397	35.78239	1.0	3.68518	4.65853	yes	8.64305	4.5502	6.70303	6.48005	89.39576	married
Probation officer	Baker-Allen	M	"USNS Potter
FPO AE 71687"	AB-	179-24-4431	Brian Duncan	2011-04-23	White	10	5.37593	68.68707	7.12732	9-10	60-70	42.86084	64.73682	1.0	9.21742	4.72454	no	6.43605	3.53772	5.37633	6.83462	81.18578	divorced
Surveyor, building	Perry Ltd	M	"350 Erika Overpass Suite 480
West Josephberg, RI 14868"	O+	176-57-1986	Bruce Norris	1982-09-25	White	39	7.93178	27.98384	6.72961	4-5	20-30	62.60272	42.9748	1.0	4.5788	7.05334	no	8.97295	6.81615	7.05173	7.32222	72.58195	married
Scientist, audiological	Hartman LLC	M	"200 Samantha Isle Apt. 227
Grahamborough, ID 84675"	A+	131-98-1194	David Rodriguez	1954-03-08	Black	67	7.86905	2.62558	4.73539	7-8		48.72828	47.28942	0.0	7.40745	7.38778	yes	5.66694	4.21146	6.20763	6.91335	84.38267	married
Psychotherapist	Oconnor, Houston and White	F	"5665 Dalton Valleys
New David, CO 15888"	A+	260-22-5744	Jessica Miller	1910-11-17	Black	110	6.69352	56.28587	8.35471	5-6	50-60	40.71308	53.70961	0.0	5.57814	9.02594	yes	6.71342	5.71126	5.85457	6.16038	91.51705	married
Scientist, research (medical)	Rivera, Le and Buck	F	"722 Pamela Hills
East Aaronfort, VA 17624"	A+	661-82-7725	Tiffany Montgomery	1933-10-03	White	88	5.93251	53.12583	7.71206	7-8	50-60	61.90304	44.86618	1.0	7.5691	5.04251	yes	9.75082	5.24706	7.57836	5.51028	73.52927	widowed
Call centre manager	Hebert, Russell and Johnson	F	"72985 Carter Lake
Clarkport, NY 98592"	B-	456-44-5353	Melanie Rodriguez	1944-03-20	White	77	8.57268	58.30278	6.42212	5-6	50-60	61.83117	35.90091	1.0	5.42888	7.53911	yes	6.27904	6.76285	6.02803	7.13835	72.96913	nop
Proofreader	Contreras-Cherry	F	"5337 Valerie Points Suite 061
Davidton, NM 53395"	AB+	424-79-9110	Cynthia Ross	2009-07-01	Black	12	9.32703	131.24236	7.3961	5-6	130-140	61.54223	53.05219	0.0	5.46149	8.26315	no	4.12455	6.77274	6.68677	4.7657	47.87312	separated
Education officer, environmental	Carpenter, Wyatt and Porter	F	"1380 Moody Corners Apt. 954
Wendyland, AL 20121"	A+	831-53-4776	Amanda Watts	1946-07-28	Black	75	5.63701	113.11788	4.07597	8-9	110-120	58.64464	77.0487	1.0	8.83508	6.15524	yes	4.69476	5.23492	4.79582	7.44134	57.74484	nop
Sales executive	Hall-Valdez	M	"6808 Leonard Brooks Apt. 483
Jonesville, VA 77919"	AB-	596-35-0369	Vincent Rodriguez	1992-10-16	White	29	5.48426	53.1924	6.96465	8-9	50-60	44.82135	60.28921	1.0	8.58272	4.60671	no	6.73548	3.50607	6.25111	5.30152	76.96426	married
Financial manager	Pratt Ltd	F	"1303 Evans Village Apt. 934
North Nathanshire, ND 63436"	A+	799-84-3720	Nancy Fisher	1938-06-21	Asian	83	3.79051	61.59555	4.81657	7-8	60-70	48.97847	80.2614	1.0	7.6085	5.50742	yes	3.98141	6.62295	6.60811	7.04863	76.99634	widowed
Energy manager	Garrett, Newman and Boyd	F	"086 Jones Terrace Apt. 394
Barbermouth, OR 64178"	AB-	802-06-0050	Jennifer Holmes	1951-06-09	Black	70	7.40595	87.32424	6.36628	9-10	80-90	39.28933	45.00432	1.0	9.23226	6.81708	no	9.15751	5.25687	7.35044	6.70487	84.90632	married
Television/film/video producer	Cabrera, Hurst and Clements	M	"90461 Myers Road Suite 533
Port Marktown, TX 65183"	AB+	326-32-6231	Alan Rodgers	2008-12-06	Indian	12	9.50652	63.039	8.51988	6-7	60-70	27.60885	78.19282	0.0	6.50737	5.03369	yes	9.71211	3.62323	6.46386	7.5984	60.58445	divorced
Web designer	Gregory, Williams and Orr	M	"009 Taylor Cliff Suite 439
Jasmineville, UT 61538"	O+	266-35-4317	Jerry Martin	1993-10-14	White	28	8.28024	6.18576	7.76117	4-5	0-10	53.6735	46.36798	1.0	4.2052	6.92286	no	8.27368	6.31156	7.1559	5.119	65.19344	divorced
Administrator, Civil Service	Nguyen-Brewer	M	"54289 Lisa Island Apt. 907
Harrishaven, CO 01887"	B+	334-05-8609	Steven Brown	1907-06-01	White	114	8.15435	90.15649	8.49272	5-6	90-100	43.75917	78.8247	0.0	5.07857	8.84691	no	5.15767	6.64233	4.46275	7.54688	63.25826	married
Engineer, production	Carter, Reeves and Mccormick	F	"253 Carr Forks Suite 665
West Sheena, SC 01867"	B-	760-80-4222	Lindsey Escobar DVM	1944-12-14	Black	76	5.95186	30.66974	7.3704	7-8	30-40	46.7721	53.14092	1.0	7.52317	4.70572	no	5.18622	4.64216	4.19798	7.04873	79.27236	divorced
Occupational hygienist	Allen PLC	F	"4377 Lopez Valleys
East Margaret, SC 60159"	A-	813-97-4866	Allison Gomez	1965-02-02	Black	56	6.71542	99.31153	6.49664	8-9	90-100	43.47716	53.30599	1.0	8.1262	7.38255	no	6.1769	7.93457	6.87841	4.61479	43.61137	divorced
Tour manager	Hall, Hayes and Henry	F	"285 Megan Ramp
Sandrahaven, NH 96092"	O+	024-28-6177	Amanda Hoover	2001-08-16	Asian	20	8.52479	87.29764	7.19607	5-6	80-90	45.59075	62.48328	1.0	5.68971	5.42686	no	7.76371	4.9582	6.88827	6.68497	72.49256	separated
Armed forces logistics/support/administrative officer	Sanders, Jones and Perez	F	"PSC 8801, Box 9777
APO AA 24787"	B+	462-64-9578	Jodi Sawyer	1983-02-08	Hawaiian	38	6.235	7.91483	6.63902	6-7	0-10	37.09927	78.85359	0.0	6.17899	6.93402	no	5.69827	8.67531	7.0002	6.35611	84.62614	married
Social worker	White-Stone	M	"USNV Mcfarland
FPO AP 59382"	AB+	342-44-5357	Matthew Buck	1964-05-22	White	57	4.74922	47.67255	7.30987	9-10	40-50	55.17747	34.65378	1.0	9.3603	6.64642	yes	4.07182	6.53503	5.71951	6.65246	86.68623	married
Engineer, site	Fitzpatrick Group	M	"4161 Phillips Passage
Barreraberg, AR 91281"	O+	891-12-2988	Darren Mejia	1921-11-01	White	100	8.19919	23.43913	6.66662	5-6	20-30	57.43022	37.16391	1.0	5.31469	7.13748	yes	4.15356	6.74496	4.55593	6.60776	87.12409	married
Wellsite geologist	Turner-Hartman	M	"4256 Peterson Isle
South Sarah, MS 20360"	AB+	764-87-5457	Robert Blankenship	1908-10-18	White	113	8.55017	55.36283	7.82943	8-9	50-60	27.61611	56.66479	1.0	8.14896	7.07548	no	6.92787	6.90292	5.98529	6.93195	83.75245	divorced
Technical brewer	Fletcher-Cardenas	M	"3649 Cynthia Course
Hughestown, NE 34522"	O-	125-18-8160	Michael Parker	1944-11-27	Black	76	5.74287	115.78531	5.06542	7-8	110-120	64.71874	55.94058	1.0	7.57293	4.21122	yes	8.52293	4.43554	6.44533	8.02201	39.08947	nop
Chiropodist	Bush-Hines	F	"4011 Ashley Mall Suite 146
Franklinmouth, VA 70331"	AB+	203-17-3959	Maria Castro	1919-11-20	Black	101	8.76739	76.07026	7.55645	5-6	70-80	63.9905	46.44765	1.0	5.4003	6.41729	no	6.13832	5.5672	6.59005	7.69851	53.46527	separated
Research officer, trade union	Robertson-Charles	F	"41741 May Light Suite 683
North Patrick, MO 03024"	A+	328-10-0291	Jade Rodriguez	2010-02-22	White	11	7.24436	1.67177	5.32866	5-6	0-10	56.10867	46.02574	1.0	5.88328	3.86437	yes	56.94261	4.81406	9.71492	8.73494	16.92827	single
Control and instrumentation engineer	Salazar Inc	F	"402 Evan Circle Apt. 928
New Timothystad, VA 79566"	O+	331-12-7209	Destiny Warren	1995-05-01	White	26	6.51909	0.364	6.17281	7-8	0-10	74.83391	44.34334	1.0	7.74732	6.07106	no	5.29749	6.36597	6.69647	8.74524	7.36645	single
Accountant, chartered certified	Pitts LLC	M	"36963 Gibson Streets Apt. 434
Port Ethanhaven, WI 05330"	B+	304-73-4441	Craig Jackson	1931-06-04	Black	90	6.65531	51.28152	7.78474	8-9	50-60	37.48952	41.57749	1.0	8.31505	5.75757	no	5.00428	4.67551	7.26564	6.40505	90.76291	nop
Systems analyst	Williams, Carpenter and Diaz	M	"2596 Kimberly Plains Suite 803
Christinafurt, MD 22466"	A-	625-37-6545	Cody Gutierrez	1941-01-12	Asian	80	4.34194	58.51145	7.46264	8-9	50-60	19.9031	39.14911	1.0	8.52828	5.54469	no	6.95968	5.30256	5.55753	7.20952	74.23167	single
Company secretary	Cochran Inc	F	"96045 Reeves Creek Apt. 681
New Kathrynfurt, OR 22772"	B-	583-70-1600	Kathleen Miller	1967-08-23	White	54	6.44533	104.09088	7.90371	5-6	100-110	51.07659	50.18889	0.0	5.77085	6.43208	no	14.30618	6.54142	8.10459	7.65663	58.9511	divorced
Clinical molecular geneticist	Pacheco-Gibson	F	"95714 Bright Station
Lake Chadside, TN 88343"	B-	216-87-1134	Andrea Williams	1986-04-01	White	35	7.46682	84.69929	7.53082	7-8	80-90	61.69595	59.81861	1.0	7.38758	2.03995	yes	2.31063	3.18561	5.90758	7.49875	58.5626	divorced
Quality manager	Soto-Mullins	F	"267 Victoria Streets
Colemanstad, DC 59320"	AB+	549-36-6451	Heather Gray	1932-01-03	Indian	89	5.93528	80.43106	6.1192	7-8	80-90	54.6351	29.87319	1.0	7.47349	5.14118	no	15.18722	4.54788	8.244	7.38722	64.92361	divorced
Sales professional, IT	Johnson-Osborne	M	"76980 Reed Valleys
South Nancy, CA 70758"	B+	323-98-9449	Thomas Howard	1929-07-26	Asian	92	5.54806	66.88303	7.38652	8-9	60-70	59.42761	42.71159	1.0	8.33684	6.45883	yes	4.59957	7.28491	6.70436	6.83513	83.56176	married
Cytogeneticist	Le Inc	M	"895 Mathew Crossing
Schwartzmouth, MA 78434"	AB-	228-10-4666	Dr. Robert Lee	1953-11-28	White	67	8.22861	9.21979	6.24867	5-6	0-10	33.03406	59.04486	0.0	5.54079	7.61054	no	12.42989	5.43093	7.33056	6.10687	85.37212	widowed
Financial manager	Johnson-Watson	F	"339 Mendoza River Apt. 894
New Heathermouth, DE 68878"	B+	115-84-6926	Shawna Martin	1954-08-07	White	67	6.01518	30.45567	6.17548	8-9	30-40	50.31551	46.17731	1.0	8.22954	5.28778	no	3.41124	4.81083	6.18606	8.91136	8.94839	nop
Scientist, research (physical sciences)	Ponce, Li and Ellison	F	"2087 Shirley Glen Suite 040
Tammyfurt, IA 95904"	AB-	183-10-1808	Kelsey Russell	1925-01-26	Black	96	7.10413	79.10772	5.46979	6-7	70-80	43.16792	27.04051	1.0	6.29593	2.98464	no	4.43336	4.22537	5.75065	6.37011	82.62141	divorced
Rural practice surveyor	Bean Inc	M	"452 Jose Alley Apt. 864
North Paul, ND 89309"	O-	139-79-8521	Robert Newton	1958-01-26	Indian	63	8.38698	27.83718	6.94177	9-10	20-30	31.98982	60.86478	1.0	9.65721	6.01602	yes	3.04991	3.88795	6.47566	7.17756	69.14171	divorced
Charity officer	Williams-Torres	F	"91409 Donna Spurs
Pattersonland, FL 32410"	AB-	605-84-7679	Gina Hines	1943-09-05	Black	78	6.20937	120.41753	5.41727	7-8	120-130	41.87982	38.57682	1.0	7.50975	6.85422	yes	11.21124	7.98652	7.19614	6.95334	77.08166	single
Surveyor, minerals	Herrera Ltd	F	"8020 Diaz Turnpike Apt. 754
Lake Brandontown, CO 65348"	AB+	471-67-3240	Diane Hartman	1996-07-02	White	25	7.72697	36.11844	7.84218	6-7	30-40	30.11389	34.07926	1.0	6.62975	5.59291	yes	7.11435	5.99382	6.47006	5.45806	69.77296	married
Town planner	Martin, Coleman and Phillips	F	"PSC 3065, Box 9349
APO AE 47522"	AB+	446-99-1433	Katrina Stanley	1924-10-13	White	97	8.39573	50.30975	5.24819	6-7	50-60	17.063	43.22141	1.0	6.31457	6.61519	no	3.33859	6.23259	4.45086	7.26736	72.76626	single
Administrator, arts	Miller LLC	F	"41549 Gary Centers Suite 078
Valerieview, ME 12240"	B-	815-32-5638	Angelica Castro	1918-03-27	White	103	4.47959	9.92563	8.12121	7-8	0-10	55.08783	76.47882	1.0	7.9006	4.71159	yes	5.31432	5.60533	6.26632	5.99994	79.19268	single
Ship broker	Hanna-Ramirez	M	"393 Mitchell Court Apt. 526
South Tanyaview, TN 40830"	O-	089-28-6577	Robert Griffin	1990-08-29	White	31	7.23115	48.669	5.32579	5-6	40-50	70.534	50.04033	0.0	5.61705	8.50035	no	9.338	5.49531	6.39322	6.27954	83.34905	divorced
Social worker	Nelson Inc	M	"44785 Thompson Flat
Stacyborough, NM 97768"	B+	349-62-2987	David Berry	1961-10-27	White	60	6.58322	95.3512	6.9135	7-8	90-100	35.82755	38.21004	1.0	7.56952	5.20413	yes	5.74742	5.06021	5.7526	6.85803	84.76378	divorced
Environmental education officer	Benjamin Inc	F	"650 Hall Field Apt. 263
New Brian, WA 38584"	A+	697-14-1511	Danielle Hanson	1951-10-11	Black	70	4.18757	124.57402	7.11696	8-9	120-130	41.211	41.99882	1.0	8.46641	7.0238	yes	11.36851	7.92885	7.2841	6.60828	84.97577	married
Marketing executive	Jackson, Wagner and Robles	M	"6915 Angelica Plain Apt. 851
South Susanside, OK 26028"	B-	065-91-4599	Timothy Jenkins	1911-01-08	White	110	4.62896	114.37381	7.19862	6-7	110-120	39.74747	70.59086	0.0	6.54343	8.82268	no	30.01167	9.21861	8.97031	8.26094	30.05495	married
Dramatherapist	Young Group	F	"66301 Gonzalez Alley Suite 265
Chelseatown, IA 79996"	A-	415-82-3256	Amy Moody	2019-03-02	Black	2	6.90304	95.74297	5.84199	8-9	90-100	42.31816	49.62622	1.0	8.40133	6.91853	no		6.75232	5.45866	7.06751	77.83415	married
Clothing/textile technologist	Baker Ltd	F	"4991 Parker Junctions
Kellyfort, IN 80341"	A+	600-18-0150	Ashley Figueroa	2019-07-17	Black	2	4.29609	98.15401	5.41094	7-8	90-100	50.49206	44.0279	0.0	7.41952	9.59235	yes	12.29015	8.28997	7.69281	5.76716	87.9065	separated
Chemist, analytical	Brown, Jennings and Montgomery	F	"30700 Elizabeth Wall
Beckertown, PA 79823"	AB-	057-95-7585	Jo Jenkins	1972-08-21	Black	49	9.34071	46.2659	8.13065	5-6	40-50	50.84292	75.23818	1.0	5.39723	7.78441	no	5.99509	6.23972	5.25279	7.3756	60.62796	married
Drilling engineer	Mills, Campbell and Navarro	M	"8692 Randall Forges
Davidsonmouth, VA 74732"	O+	005-66-0703	Ian Evans	1966-04-01	White	55	7.75666	11.42626	8.36798	5-6		50.57221	37.13649	1.0	5.957	6.46434	no	7.93868	6.65229	7.19858	5.64428	76.2023	separated
Licensed conveyancer	Jacobs-Nguyen	M	"6570 Miller Courts
Websterville, WY 40479"	B+	235-62-1019	Alexander Davidson	1969-06-21	White	52	7.24342	107.98057	6.53729	4-5	100-110	79.12858	62.32023	1.0	4.581	3.53034	yes	17.63736	4.32349	8.52088	6.72468	83.66436	divorced
Air broker	Moore-Moore	F	"63458 Dixon Freeway
Lake Kyle, HI 86259"	B+	482-82-4270	Christina Ellis	1930-05-01	White	91	7.38784	67.06815	6.66989	7-8	60-70	37.39693	53.05139	1.0	7.07145	5.87441	no	17.26542	6.63262	8.27064	7.41184	58.06673	married
Hydrographic surveyor	Lucas, Gordon and Davis	M	"1557 Steven Loop Suite 661
North Patrick, ME 27376"	B+	340-35-6765	Jesus Armstrong	1959-06-05	White	62	7.09003	43.84458	8.26517	7-8	40-50	40.94033	49.83737	1.0	7.07813	4.08753	no	5.8525	5.32539	5.8426	6.76303	80.47493	divorced
